Login date;Stimuli Location;Head Position;Head Rotation;Point Location
2/21/2020 1:26:30 PM;3;(0.0, 20.2, -0.3);(0.02484466,-0.7772824,0.06279309,0.6255172);(-2.5, 21.9, -0.7)
2/21/2020 1:26:36 PM;5;(0.0, 20.2, -0.3);(0.02651769,-0.7795922,0.063434,0.6225024);(-0.4, 21.8, 2.4)
2/21/2020 1:26:43 PM;5;(0.0, 20.2, -0.2);(0.03125068,-0.2771433,0.03507444,0.9596795);(2.0, 22.1, 1.2)
2/21/2020 1:26:51 PM;3;(0.1, 20.2, -0.2);(0.04905633,0.2464738,0.00457136,0.9678963);(1.3, 21.8, 2.1)
2/21/2020 1:26:57 PM;4;(0.1, 20.2, -0.2);(0.06679183,0.2076024,0.003740992,0.9759233);(2.4, 22.2, 0.4)
2/21/2020 1:27:04 PM;5;(0.2, 20.2, -0.2);(0.07075143,0.365133,-0.01396826,0.9281579);(1.9, 21.8, -2.3)
2/21/2020 1:27:11 PM;5;(0.2, 20.2, -0.3);(0.06297062,0.6824691,-0.04119597,0.7270307);(0.2, 21.8, -3.1)
2/21/2020 1:27:26 PM;1;(0.2, 20.2, -0.3);(0.07191774,0.849389,-0.09292232,0.5145209);(1.7, 20.8, 2.3)
2/21/2020 1:27:44 PM;1;(0.2, 20.2, -0.2);(0.1135629,0.611581,-0.0832281,0.7785535);(-0.3, 21.4, 2.5)
2/21/2020 1:27:51 PM;2;(0.1, 20.2, -0.2);(0.08563145,0.2519517,-0.01133402,0.9638771);(-0.4, 22.2, 1.9)
2/21/2020 1:27:57 PM;4;(0.1, 20.2, -0.2);(0.08899446,0.1724551,-0.0006657168,0.9809886);(2.5, 22.1, 0.1)
2/21/2020 1:28:04 PM;4;(0.1, 20.2, -0.2);(0.1031548,0.2851435,-0.03219342,0.9523739);(2.4, 22.3, -0.4)
2/21/2020 1:28:09 PM;4;(0.1, 20.2, -0.2);(0.08642422,0.297856,-0.0158044,0.9505593);(2.6, 22.1, -0.3)
2/21/2020 1:28:15 PM;1;(0.1, 20.2, -0.2);(0.0902648,0.3264098,-0.01340342,0.9408131);(-2.3, 21.1, 1.6)
2/21/2020 1:28:21 PM;2;(0.0, 20.2, -0.2);(0.09417414,-0.03555247,0.004468732,0.9949107);(-1.9, 22.3, 0.8)
2/21/2020 1:28:26 PM;3;(-0.1, 20.2, -0.1);(0.1008027,-0.2670645,0.04666118,0.9572556);(-1.2, 21.7, 2.2)
2/21/2020 1:28:33 PM;2;(-0.1, 20.2, -0.2);(0.08592068,-0.2269673,0.03376764,0.9695169);(-2.4, 22.0, 0.5)
2/21/2020 1:28:41 PM;1;(-0.1, 20.2, -0.2);(0.08750306,-0.4354535,0.0314527,0.8953962);(-1.5, 21.5, -2.7)
2/21/2020 1:29:07 PM;3;(-0.1, 20.2, -0.3);(0.003133627,-0.9113622,0.07580686,0.4045523);(-2.3, 21.6, -1.9)
2/21/2020 1:29:13 PM;2;(-0.1, 20.2, -0.3);(-0.002951553,-0.9038737,0.06314737,0.4231028);(1.1, 22.2, -2.2)
2/21/2020 1:31:41 PM;2;(0.0, 20.2, -0.3);(-0.03990632,0.8408229,-0.09569398,-0.5312883);(0.0, 22.1, -2.7)
2/21/2020 1:31:50 PM;4;(0.0, 20.2, -0.3);(-0.03901371,0.844334,-0.0952556,-0.525837);(-2.0, 21.9, 1.5)
2/21/2020 1:31:56 PM;5;(0.0, 20.2, -0.2);(-0.003436651,0.5089046,-0.05962985,-0.8587484);(0.9, 22.0, 2.3)
2/21/2020 1:32:03 PM;1;(0.0, 20.2, -0.1);(0.02346499,-0.03771902,-0.04501566,-0.9979982);(-2.9, 20.8, -1.1)
2/21/2020 1:32:10 PM;3;(-0.1, 20.2, -0.2);(-0.03265221,0.4551531,-0.04769659,-0.8885352);(-2.4, 21.0, 1.8)
2/21/2020 1:32:16 PM;2;(-0.1, 20.2, -0.2);(-0.04755649,0.4445715,-0.04383779,-0.8934053);(-2.5, 21.6, -1.4)
