Login date;Stimuli Location;Head Position;Head Rotation;Point Location
2/21/2020 2:00:17 PM;2;(0.0, 20.2, 0.0);(0.08951954,-0.02050683,-0.005880617,0.9957566);(-2.1, 22.0, 1.6)
2/21/2020 2:00:53 PM;3;(-0.1, 20.2, 0.0);(0.105298,0.01439975,-0.004101937,0.994328);(0.3, 22.2, 2.5)
2/21/2020 2:01:02 PM;1;(-0.1, 20.2, 0.0);(0.08155674,-0.006944618,0.003834678,0.9966372);(-3.0, 21.3, 0.7)
2/21/2020 2:01:11 PM;4;(-0.1, 20.2, 0.0);(0.0979659,-0.02685308,-0.0008629889,0.9948271);(2.2, 22.3, 1.1)
2/21/2020 2:01:20 PM;2;(-0.1, 20.2, 0.0);(0.1096575,-0.01599376,0.003229219,0.9938355);(-2.1, 22.3, 1.2)
2/21/2020 2:01:54 PM;5;(-0.1, 20.2, 0.0);(0.1206023,-0.00982513,0.008248757,0.9926182);(2.5, 22.1, -0.7)
2/21/2020 2:02:05 PM;3;(0.0, 20.2, 0.0);(0.08544174,0.04877257,0.007414589,0.9951211);(0.3, 22.6, 1.9)
2/21/2020 2:02:15 PM;3;(-0.1, 20.2, 0.0);(0.09013926,0.02609853,0.01638122,0.9954525);(0.3, 22.5, 1.9)
2/21/2020 2:02:25 PM;4;(0.0, 20.2, 0.0);(0.03372185,-0.0004336011,0.01636694,0.9992972);(2.2, 22.3, 0.7)
2/21/2020 2:02:35 PM;5;(0.0, 20.2, 0.0);(0.04142143,0.2685146,0.01036366,0.9623289);(2.0, 21.2, -2.4)
2/21/2020 2:02:45 PM;5;(0.1, 20.2, -0.1);(0.04345553,0.7123087,-0.03932101,0.6994156);(0.9, 21.9, -3.0)
2/21/2020 2:03:18 PM;1;(0.1, 20.2, -0.1);(0.06762674,0.6460957,-0.04125792,0.7591342);(-0.5, 21.2, 2.9)
2/21/2020 2:03:26 PM;2;(0.1, 20.2, -0.1);(0.08283688,0.6214595,-0.04754559,0.7776024);(1.2, 22.1, 2.1)
2/21/2020 2:03:37 PM;4;(0.1, 20.2, -0.1);(0.09101468,0.6196377,-0.07009327,0.7764359);(2.0, 22.1, -2.2)
2/21/2020 2:03:45 PM;5;(0.1, 20.2, -0.1);(0.09338768,0.6279195,-0.06767297,0.7696858);(0.2, 22.4, -2.4)
2/21/2020 2:03:54 PM;1;(0.1, 20.2, -0.1);(0.0962962,0.617624,-0.06926703,0.7774765);(-0.7, 21.2, 2.8)
2/21/2020 2:04:28 PM;4;(0.1, 20.2, -0.1);(0.06447989,0.496974,-0.01985419,0.8651386);(1.4, 23.0, -1.5)
2/21/2020 2:04:41 PM;1;(0.2, 20.2, -0.2);(0.0499339,0.7870504,-0.02051679,0.6145221);(0.2, 21.4, 2.8)
2/21/2020 2:04:59 PM;2;(0.0, 20.2, -0.1);(0.03752758,0.0553797,0.03384692,0.9971856);(-2.4, 22.1, 0.9)
2/21/2020 2:05:14 PM;3;(-0.1, 20.2, -0.1);(-0.008420429,-0.4796443,0.01926216,0.8772112);(-1.9, 22.2, 1.4)
