Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/5/2020 4:42:49 PM;4;(-0.3, 20.1, 0.0);(0.05429275,0.02634576,0.05045148,0.9969017);(2.3, 20.4, -1.8)
3/5/2020 4:42:57 PM;3;(-0.3, 20.1, 0.0);(0.06037708,0.03043946,0.05367846,0.9962664);(0.3, 19.8, -2.9)
3/5/2020 4:43:08 PM;5;(-0.3, 20.1, 0.0);(0.06591985,0.02300135,0.04144492,0.9966986);(3.1, 19.6, 0.0)
3/5/2020 4:43:16 PM;3;(-0.3, 20.1, 0.0);(0.06244473,0.0328006,0.05127157,0.9961909);(-0.2, 18.2, -2.6)
3/5/2020 4:43:24 PM;2;(-0.3, 20.1, 0.0);(0.06058322,0.01922289,0.05469804,0.996478);(-0.7, 19.9, -3.0)
3/5/2020 4:43:32 PM;1;(-0.3, 20.1, 0.0);(0.06627798,0.02476635,0.04965665,0.9962571);(-1.8, 22.2, -1.4)
3/5/2020 4:43:39 PM;1;(-0.3, 20.1, 0.0);(0.07447509,0.03725912,0.04391489,0.9955585);(-2.6, 22.0, 0.1)
3/5/2020 4:43:47 PM;3;(-0.3, 20.1, 0.0);(0.08447821,0.04647248,0.04610847,0.9942725);(0.7, 19.6, -2.7)
3/5/2020 4:43:55 PM;2;(-0.3, 20.1, 0.0);(0.05271442,0.03656718,0.05530384,0.9964063);(-0.4, 20.9, -2.9)
3/5/2020 4:44:03 PM;4;(-0.3, 20.1, 0.0);(0.03865321,0.01890571,0.04232704,0.9981768);(2.3, 19.3, -1.6)
3/5/2020 4:44:10 PM;1;(-0.3, 20.1, 0.0);(0.05416398,0.03263774,0.04930621,0.9967797);(-2.4, 22.1, -0.9)
3/5/2020 4:44:17 PM;5;(-0.3, 20.1, 0.0);(0.06873988,0.04359045,0.05178859,0.9953355);(2.5, 19.6, -1.5)
3/5/2020 4:44:27 PM;1;(-0.3, 20.1, 0.0);(0.09135777,0.03392807,0.0631716,0.9932331);(-3.0, 21.6, -0.3)
3/5/2020 4:44:34 PM;4;(-0.3, 20.1, 0.0);(0.07164545,0.04649825,0.03999951,0.9955425);(1.1, 19.6, -2.6)
3/5/2020 4:44:43 PM;2;(-0.3, 20.1, 0.0);(0.07727103,0.03158212,0.05085485,0.9952113);(-0.8, 20.3, -2.9)
3/5/2020 4:44:50 PM;4;(-0.3, 20.1, 0.0);(0.06125766,0.03682582,0.0425701,0.9965337);(1.7, 19.6, -2.5)
3/5/2020 4:44:58 PM;3;(-0.3, 20.1, 0.0);(0.07767313,0.03423385,0.0552109,0.9948602);(-0.6, 20.0, -2.9)
3/5/2020 4:45:09 PM;5;(-0.3, 20.1, 0.0);(0.03448308,0.03266307,0.04009701,0.9980663);(1.7, 21.4, -1.9)
3/5/2020 4:45:14 PM;5;(-0.3, 20.1, 0.0);(0.04315227,0.04873418,0.04952765,0.9966494);(1.1, 22.2, -1.5)
3/5/2020 4:45:21 PM;2;(-0.3, 20.1, 0.0);(0.0608179,0.03751656,0.05647779,0.9958434);(-1.5, 21.1, -2.4)
