Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/5/2020 5:16:56 PM;5;(-0.3, 20.1, -0.1);(-0.07905145,-0.06643087,-0.04593277,-0.9935935);(1.4, 21.1, -2.2)
3/5/2020 5:17:00 PM;2;(-0.3, 20.1, -0.1);(-0.07938512,-0.06103972,-0.05374909,-0.9935207);(-1.1, 21.6, -2.3)
3/5/2020 5:17:05 PM;3;(-0.3, 20.1, -0.1);(-0.09339126,-0.06288622,-0.04809956,-0.9924766);(-0.4, 18.8, -2.6)
3/5/2020 5:17:11 PM;5;(-0.3, 20.1, -0.1);(-0.09467095,-0.04458946,-0.05349083,-0.9930699);(1.3, 20.0, -2.6)
3/5/2020 5:17:16 PM;2;(-0.3, 20.1, -0.1);(-0.09538852,-0.03556529,-0.0579881,-0.993113);(-1.9, 22.1, -1.1)
3/5/2020 5:17:21 PM;4;(-0.3, 20.1, -0.1);(-0.1054646,-0.03955207,-0.06699885,-0.9913749);(1.3, 22.1, -1.4)
3/5/2020 5:17:26 PM;5;(-0.3, 20.1, -0.1);(-0.08998772,-0.03644985,-0.06348385,-0.9932489);(1.9, 20.9, -1.9)
3/5/2020 5:17:31 PM;3;(-0.3, 20.1, -0.1);(-0.09452423,-0.02382817,-0.05670505,-0.9936207);(-0.4, 19.5, -2.9)
3/5/2020 5:17:37 PM;4;(-0.3, 20.1, -0.1);(-0.08596156,-0.04378114,-0.04262101,-0.9944232);(1.8, 21.4, -1.6)
3/5/2020 5:17:42 PM;2;(-0.3, 20.1, -0.1);(-0.09808809,-0.03614923,-0.05911366,-0.9927626);(-1.5, 21.3, -2.2)
3/5/2020 5:17:48 PM;1;(-0.3, 20.1, -0.1);(-0.100651,-0.04368239,-0.04728738,-0.992837);(-3.2, 19.9, 0.7)
3/5/2020 5:17:52 PM;4;(-0.3, 20.1, -0.1);(-0.1015326,-0.03984386,-0.0502248,-0.9927645);(1.1, 21.3, -2.3)
3/5/2020 5:17:57 PM;4;(-0.3, 20.1, -0.1);(-0.1065187,-0.03791341,-0.05245158,-0.9922023);(1.1, 21.6, -2.2)
3/5/2020 5:18:01 PM;1;(-0.3, 20.1, -0.1);(-0.0968392,-0.03296297,-0.05937039,-0.9929809);(-3.2, 19.7, 0.6)
3/5/2020 5:18:06 PM;1;(-0.3, 20.1, -0.1);(-0.0971124,-0.04336486,-0.05601716,-0.9927492);(-3.2, 20.0, 0.2)
3/5/2020 5:18:10 PM;2;(-0.3, 20.1, -0.1);(-0.1036666,-0.04816478,-0.05642909,-0.9918414);(-1.4, 21.2, -2.4)
3/5/2020 5:18:14 PM;1;(-0.3, 20.1, -0.1);(-0.09699632,-0.05692581,-0.05706561,-0.9920155);(-3.2, 20.0, 0.6)
3/5/2020 5:18:20 PM;3;(-0.3, 20.1, -0.1);(-0.0956305,-0.059161,-0.0471705,-0.992537);(-0.6, 20.2, -2.9)
3/5/2020 5:18:29 PM;3;(-0.3, 20.1, -0.1);(-0.08281285,-0.04119997,-0.04632808,-0.9946348);(-0.4, 21.2, -2.6)
3/5/2020 5:18:34 PM;5;(-0.3, 20.1, -0.1);(-0.09594035,-0.05057853,-0.04757855,-0.992962);(0.6, 21.4, -2.5)
