Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/1/2020 2:51:56 PM;1;(0.0, 20.3, 0.2);(-0.004028833,-0.585822,0.03074883,-0.8098463);(-0.9, 20.2, 3.1)
3/1/2020 2:52:04 PM;1;(0.0, 20.3, 0.2);(0.001423346,-0.09740883,0.01253066,-0.9951646);(-3.0, 20.3, 0.1)
3/1/2020 2:52:11 PM;3;(0.0, 20.3, 0.2);(-0.02138343,0.5000467,-0.009337348,-0.8656841);(-2.7, 20.2, 2.2)
3/1/2020 2:52:24 PM;1;(-0.1, 20.3, 0.2);(-0.02953819,0.4869779,-0.01100615,-0.8728454);(-1.4, 20.8, -2.7)
3/1/2020 2:52:32 PM;5;(-0.1, 20.3, 0.2);(-0.0265349,0.828177,-0.01366311,-0.5596713);(-1.7, 20.3, 3.6)
3/1/2020 2:52:45 PM;4;(-0.1, 20.3, 0.2);(-0.008551527,0.3743343,-0.01450163,-0.9271411);(-0.5, 20.3, 3.5)
3/1/2020 2:52:59 PM;4;(0.0, 20.3, 0.1);(-0.03069939,0.1902848,-0.02286207,-0.9809824);(1.2, 20.0, 3.3)
3/1/2020 2:53:07 PM;5;(0.1, 20.3, 0.2);(-0.04494321,0.2443086,-0.02948568,-0.9682068);(2.6, 20.2, 2.5)
3/1/2020 2:53:22 PM;2;(0.0, 20.3, 0.1);(-0.02579858,-0.1947256,0.008031475,-0.9804856);(-2.6, 20.4, 1.7)
3/1/2020 2:53:29 PM;4;(0.0, 20.3, 0.1);(0.01868302,0.2634277,-0.006125644,-0.9644789);(1.0, 20.1, 3.4)
3/1/2020 2:53:37 PM;4;(0.0, 20.3, 0.1);(-0.04881645,0.1589395,-0.01546485,-0.9859595);(1.8, 20.2, 3.0)
3/1/2020 2:53:52 PM;3;(0.0, 20.3, 0.1);(-0.05119942,0.01334493,-0.0003442608,-0.9985994);(0.4, 20.7, -3.0)
3/1/2020 2:54:10 PM;5;(0.0, 20.3, 0.1);(-0.01843391,0.996096,-0.08077181,-0.03047809);(-3.5, 20.3, -0.4)
3/1/2020 2:54:19 PM;5;(-0.1, 20.3, 0.1);(-0.01241075,0.8518803,-0.01123345,-0.5234692);(-1.6, 20.5, 3.4)
3/1/2020 2:54:28 PM;3;(-0.1, 20.3, 0.1);(-0.04731679,0.3778171,0.03855589,-0.9238663);(-2.9, 20.0, 1.3)
3/1/2020 2:54:40 PM;2;(0.0, 20.3, 0.1);(-0.05724278,0.4358274,-0.01083303,-0.8981428);(-2.3, 20.7, -1.9)
3/1/2020 2:54:55 PM;1;(0.0, 20.3, 0.0);(-0.002250452,0.7890232,-0.03706976,-0.6132398);(0.6, 21.4, -2.8)
3/1/2020 2:55:03 PM;3;(0.1, 20.3, 0.0);(-0.005120215,0.9960461,-0.01988032,-0.08643395);(-0.7, 20.2, -3.2)
3/1/2020 2:55:13 PM;2;(0.0, 20.3, 0.0);(-0.0006236355,0.9875281,-0.04184721,-0.1517789);(1.5, 21.5, -2.5)
3/1/2020 2:55:25 PM;2;(0.1, 20.3, 0.0);(-0.007479396,0.9931366,-0.03098586,-0.1125328);(2.2, 21.5, -1.9)
