Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/12/2020 5:53:21 PM;5;(-0.3, 20.1, 0.1);(-0.115213,0.1930974,-0.04785027,-0.9732162);(2.6, 20.9, -0.2)
3/12/2020 5:53:27 PM;3;(-0.2, 20.1, 0.1);(-0.1357407,-0.08193514,0.01767957,-0.9871922);(0.1, 22.6, 0.7)
3/12/2020 5:53:33 PM;2;(-0.1, 20.1, 0.0);(-0.1064241,-0.003647573,-0.01092445,-0.9942542);(-2.4, 20.1, -1.7)
3/12/2020 5:53:39 PM;3;(-0.1, 20.1, 0.0);(-0.1127965,0.01091258,0.00306345,-0.9935536);(-0.1, 22.7, 0.5)
3/12/2020 5:53:45 PM;5;(-0.1, 20.1, 0.0);(-0.1265837,-0.02631729,0.005960077,-0.9915888);(2.3, 20.5, -2.1)
3/12/2020 5:53:51 PM;2;(-0.2, 20.1, 0.0);(-0.07907119,-0.4851651,0.02206511,-0.8705606);(-3.2, 20.2, -0.6)
3/12/2020 5:53:56 PM;2;(-0.2, 20.1, 0.0);(-0.04524516,0.3512032,-0.03778369,-0.9344419);(-2.4, 21.1, -1.5)
3/12/2020 5:54:02 PM;1;(-0.2, 20.1, 0.1);(-0.04813946,0.3072006,-0.03219814,-0.9498808);(-3.0, 20.0, -1.4)
3/12/2020 5:54:10 PM;4;(-0.2, 20.1, 0.1);(-0.037807,0.6638591,-0.06204013,-0.7443205);(2.8, 19.4, 1.4)
3/12/2020 5:54:18 PM;4;(-0.2, 20.1, 0.1);(-0.06772125,-0.1591244,-0.03163633,-0.9844249);(1.2, 21.7, -2.1)
3/12/2020 5:54:24 PM;5;(-0.2, 20.1, 0.0);(0.04927529,-0.4838399,-0.02099356,-0.873516);(-1.2, 21.9, -2.0)
3/12/2020 5:54:30 PM;4;(-0.1, 20.1, 0.0);(-0.02402751,-0.7942382,0.06028122,-0.6041313);(-1.3, 22.0, -2.0)
3/12/2020 5:54:35 PM;1;(-0.2, 20.1, 0.1);(-0.05029348,-0.8109643,0.06093617,-0.5797364);(0.0, 19.8, 3.3)
3/12/2020 5:54:40 PM;1;(-0.2, 20.1, 0.1);(-0.0675057,-0.1796183,0.003668576,-0.9814106);(-2.7, 20.0, 2.0)
3/12/2020 5:54:45 PM;3;(-0.3, 20.1, 0.1);(-0.05375932,-0.0159516,-0.0163227,-0.9982932);(0.4, 16.6, 0.2)
3/12/2020 5:54:51 PM;1;(-0.2, 20.1, 0.1);(-0.1878903,-0.1497381,0.02807941,-0.9703027);(-2.9, 19.8, 1.5)
3/12/2020 5:54:56 PM;2;(-0.2, 20.1, 0.1);(-0.1880169,-0.1733831,0.03786821,-0.965999);(-2.4, 21.7, -0.4)
3/12/2020 5:55:03 PM;3;(-0.1, 20.1, 0.1);(-0.08211201,0.07887338,-0.004773568,-0.9934857);(1.0, 22.5, -1.2)
3/12/2020 5:55:09 PM;4;(-0.1, 20.1, 0.1);(-0.06671559,-0.3664187,0.02144302,-0.9278074);(1.3, 20.7, -2.8)
3/12/2020 5:55:15 PM;5;(-0.1, 20.1, 0.0);(-0.08808577,-0.7311757,0.08623624,-0.6709593);(0.2, 20.2, -3.2)
